Content,Emotion_actual,Emotion_predicted
should be finish but i m not color draw here i come,fun,worry
I m sorry at least it s Friday,sadness,worry
Day go by Have to wake up early again tomorrow,hate,worry
no way damn that suck B be you ok,neutral,neutral
have go away 4 the weekend I miss her already,worry,sadness
want to cuddle it out maybe play but have no one to do it with the bc be far away,neutral,worry
a nap after work no sleep right now The nap felt soo good but now it seem like a bad idea,worry,worry
i don t think so I WANT DETAILS,neutral,worry
Im sorry I don t think I stick out at least compare to what I use to look like,surprise,worry
what be the point of your twit on bgt i must be one of the only people you havent find a swap for depite the promise,neutral,worry
bike unknown trail with random bump big hill kid one beat up little girl Not a good day on the B family vacation,neutral,worry
why be you sad,surprise,sadness
what about me,surprise,worry
last night in A amp E ER Wife tangle wheel with Daughter amp hit the deck Dislocation amp fracture result,worry,neutral
hi Facebook what s wrong with you can t add photos,neutral,neutral
ketauan cabut nih gimana dong,neutral,neutral
That suck to hear I hate days like that,hate,sadness
don t ship out until October,neutral,neutral
I just want to sleep,sadness,worry
My public talk in July get cancel and I don t know why,worry,worry
do you get them from california vintage ahahah they have the BEST dress i want them but i dont have ebay,fun,worry
AAHH SOO SWEET I miss that age SOO MUCH,surprise,neutral
gcrush i be just think about how excite i be for you guy to move but then i realize how sad i be to see you go,sadness,worry
to have an increase on her salary,neutral,worry
case of swine flu,worry,worry
my 42nd write fuck i get less ideas every day and every day,sadness,worry
unnerve me wait for the Doc flip thru magazines,worry,sadness
bore without anyone to talk to but not tire enough for sleep,neutral,worry
oh i know how budget be,worry,worry
good God cramp,worry,sadness
yeah it be very very dry down here,sadness,worry
Maths and Science be the strongest for me i think dunno bout geography only do like 1 day of study for 1 2 a year of work,hate,worry
almost didn t sleep ain t finish anything I m close to cancel the Dokomi,worry,sadness
his twitastic fwiends,worry,worry
hate TweetDeck when it reach access limit,neutral,hate
soo tire want to crawl back into bed,worry,neutral
I ma need you to follow me real quick cause I can t DM you,neutral,neutral
that i wasn t include in the morcom garden quiz on facebook,worry,sadness
miss my mom quot May angels lead you in quot,sadness,sadness
I get a job cuz we need an apartment I m drink amp miss my lil punkin TEHE,worry,worry
be over and now it s time to get back to work,neutral,worry
always so sad when you watch the series finale no more green wing leave to watch,sadness,sadness
Hmm should have look at it a little more methinks,worry,worry
a new phone,empty,worry
piss me off and not let me follow ericka,sadness,worry
you all deeply,sadness,neutral
early again load to do but the sun out hurrah,happiness,neutral
I m sorry Andrew I wish there be something I could do,sadness,sadness
build fail something be not right in the big scheme of things,worry,sadness
wife can t get on the guest list for tomorrows show because it doesn t exist LAME I guess no wife at the show,neutral,neutral
You re cycle tho that s good Healthy eat Healthy and eat be a contradiction in term,relief,neutral
that will have to leave my beautiful apartment,sadness,sadness
yeah its still totally in the high 60s here soo notlooking forward to aug and sept up here,worry,worry
Sorry move back,neutral,worry
again I hate mornings So offensive,sadness,sadness
i realy can t sleep ughh,boredom,worry
o its feel like a hot box and no matter where i go in here it still feel like a hot box ice cream isn t work n e more,worry,worry
from home today my back be kill me Doctor and then physio after later today,sadness,worry
ima goodgirl I m not down with takin advantage,neutral,neutral
i wish i be at burn tree and try on dress,fun,worry
No it s not,neutral,neutral
ia so much i haven t really be happy with any of cook choices for single,worry,worry
no my school will start on June1 two days to go i still don t want l,empty,sadness
be I complete facebook quiz at this time of the morning especially a friday morning,surprise,neutral
I m try to sleep It s not work,empty,worry
Girls be confuse,sadness,neutral
impression of Silverlight sadly base on what I saw today it s quite problematic,neutral,worry
all the awesome weather because she be in a movie,relief,sadness
Not really sleepy bore be the right word again not much work,surprise,worry
you might want to get some rest i promise you wont retain the knowledge sleepy,neutral,neutral
lady gaga tweet about not be impress by her video leak just so you know,worry,worry
my internet be down,worry,worry
kinda o sick n tire of the bs that guy dish out,hate,worry
I ve get one too though i think mine be attribute to the seizure induce color light show in the movie The Soloist,neutral,sadness
just answer you never learn how to write in French just basic stuff,empty,worry
july too long,neutral,neutral
a beautiful day shame I ve get to spend it in an office,sadness,neutral
No internet last night ER be brill there be a massive explosion at the end of a nearby gas work ER on standby,sadness,neutral
head hurt so bad I could scream,worry,worry
off to work hopefully traffic have clear up by the time I get there,worry,worry
hsbc save apy drop to 1 55 sort of feel like pull out all my money and keep it underneath my mattress,hate,worry
oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something,worry,worry
damohopo If I tell you how often I wash my hair you would never speak to me again,worry,worry
in ice cold water Sweating now Means one thing I m sick,worry,neutral
do none of my thoughts make sense when I m sober,worry,worry
no im not cry LOL,neutral,sadness
this a lie FML F uu I can be such a fool sometimes,worry,neutral
the Hongkong International Airport Has to wait for 3 4 hours for our next flight to Cebu,neutral,neutral
friday melbourne cbd mtub mini cmon Thirsty and lonely you bugger be make me feel like a scotty no mat,worry,worry
feel this pressure in my head that always kick in just before a nasty headache I m not look forward to this,worry,worry
deep its priecing my soul,boredom,neutral
your twitter be break,worry,neutral
have to admit I m a bite bum out that I wasn t with my friends walk today,worry,neutral
the news,surprise,worry
they didn t reply yet wait till they confirm in case somebody might have translate it already,worry,worry
really need to sort out a bird table and some feeders the robins and blue tits be be bully,hate,worry
I think I do it too much,worry,worry
a math test today The day before the test the teacher say bring your calculator Luke be confident Teacher decide no calcs,happiness,worry
i cant sleep,neutral,worry
haha its under 18 so ive get no one to go with curse none of my friends like TAI lol,neutral,neutral
so Fucking hot Damn no air condition,hate,worry
delete all message and hope they don t come back,worry,worry
sound good Appreciate the suggestion Been a week now and we re still offline Time to ask for a refund,love,sadness
have drink hickups I have a pretty lay back great night But I still can t help but be mad about the situation I put myself in,worry,sadness
I know He didn t ask me,neutral,worry
im really frustrate,sadness,worry
Ohh poor girl I ll email her I be rely on you be here in October Mr,worry,worry
the net ayaw bumukas ng twitter,hate,neutral
video be not available to us foreigners,neutral,neutral
guy why do paranoid drop out of the countdown thats so not fair iv vote heap for it,worry,neutral
bad the Red Devils disappoint to say the least,sadness,worry
We want to trade with someone who have Houston ticket but no one will,neutral,worry
time diff and i ve just be wrap up in day to day stuff so i havent be tweet talk soon must sleep up in 6hrs,neutral,worry
I m suppose to be sleep But i get some much to do amp i get that one part of the song stick in my head quot your a jerk iknow quot blaahh,worry,worry
a friend of mine be throw off his horse as a lorry drive past us ignore us signal for him to slow down,sadness,sadness
much more injustice than we can imagine now It will get worse before it get better I be afraid No doubt here Sorry,sadness,worry
stoke or maybe not tomorrow,neutral,neutral
sleep again I couldnt sleep last night eather Wabble Wabble,sadness,worry
4pm Friday he leave at 6am Thursday surely he should be there now,neutral,sadness
i didn t fail english that would just be sad,worry,neutral
hey yu lil fucker i textd yu,empty,neutral
ASLEEP ON ME AGAIN But I know how it feel now LOL Drag Me To Hell tonight Quite excite,sadness,sadness
food of the day pan mee though it didnt taste any good,sadness,sadness
Lucky now I want to teleport,neutral,sadness
pics I just upload be the baby pics of my cat Missy be now an adult and a pretty little kitty but Batty be in kitten heaven now,love,sadness
no internets until THURSTAG after saturday i have a feel i will become 800x more productive during those days,neutral,worry
the gays i only make 200 tonight,neutral,neutral
feel like I m on house arrest,worry,worry
that suck what bout kate,hate,neutral
can t wait till it s Sunday a new episode of Supernatural but then there be only 6 episodes leave now,love,sadness
know why so tire today bye time for beddy,neutral,worry
miss nostalgia everyone please kick tushar,neutral,sadness
I play up until the latter part of the voodoo village part co op until I lose my usual partner,sadness,worry
Jay Leno s 2nd last Tonight show I haven t go a day without Leno in like four yearss,happiness,worry
LOL very true Maybe next year I looved that siggy and I don t remember what the password for the mod thing be Cake,love,worry
spill my beer all over my leg Wasted half my beer Home now I meet a cute girl Good conversation,happiness,worry
sole supporter be not my sole supporter,worry,neutral
YEA I GOT TA BE UP AT 7 30,neutral,neutral
Babes it be soo much fun Thank you so much for make that happen Had fun with the ladies too Time go to fast,happiness,neutral
martwo OMG i love you i accadentally delete this photo yay hes SO beautiful,love,love
wicked what time you leave how come you cant stay the night,neutral,neutral
all food substances,worry,worry
still sick sigh,sadness,worry
I hate you Fleetwood be my favorite band I m so jealous ok I still love you haha,love,sadness
a bad friend,sadness,sadness
sick to my stomach and idkk whyy,sadness,sadness
It s depress I m stick inside all day,sadness,sadness
there s a manual process but it s take 4ever on my outlook database pff crappy msft product,neutral,sadness
hmm that s not nice think you should take it back I can t help it I m hungry No food in this office,worry,neutral
Re ping why didn t you go to prom BC my bf didn t like my friends,worry,worry
hate when my bf beat da dog But I guess that the only way to teach these pitts,hate,sadness
Leno have one more show leave as the host of The Tonight Show,neutral,worry
No Topic Maps talk at the Balisage Markup Conference 2009 Program online at via topicmaps,neutral,neutral
miss my bestfriend now she leave school,sadness,sadness
be sleep lose my voice a couple day ago,sadness,worry
i wan na go for taekwando,enthusiasm,sadness
still awake melatonin not work,neutral,neutral
Swift and Joe Jonas look really good together I m kinda sad they break up,sadness,sadness
aww ok lol hopefully by than im still here and not back over in the state,neutral,worry
I want to do be sit back amp relax for a little while How can that be this difficult,worry,neutral
to stay away from home and since this part of india dnt hav gud wireless internet im fuck,sadness,worry
a 4 hour nap after work today and win t be able to sleep all night This be a bummer,neutral,neutral
hate Bakersfield and I hate the Ports let me go home already I want to start my vacation,hate,sadness
sometimes go and do other stuff cure that,neutral,worry
try to dye my hair and all i get be a blond chunk in the front middle part of my hair Dang,anger,worry
kind of sick n tire of the bs that guy dish out,sadness,worry
mine pool just in someone elses pocket,neutral,neutral
No As a result the salary be a decrease,sadness,neutral
just have to empty my trash on the mac that be one of THE MOST DIFFICULT things I have ever do in my life 8 00 picture be GONE,sadness,sadness
servers still down i need to hit 80 before all the koxpers pass me,worry,worry
eww dislike,sadness,neutral
up ketauan cabut sama gemamalove nih,neutral,neutral
work lot of overtime this week Only just realize I book a half day tomorrow so this week will just break even,worry,worry
have a dream about a pretty pretty beach and there be no beach when I wake up,surprise,worry
will die soon What to do now Oh no,worry,worry
2 trans frm relax 2 natural hair but i wish my whole head look like my root Age of the instant gratification,neutral,worry
be it with chocolates i just can never say no,neutral,neutral
time you go to bed i have to get up to go to work,neutral,worry
THEN Y R U LEAVN STAY,surprise,neutral
that sleep on a stage bind,neutral,worry
my dad just tell me to read an article about Kavya Shivashankar the spellin bee girl and be more like her,neutral,worry
to make a music profile but i don t have money i don t know how to write music i don t know how to play an instrument and no studio,worry,worry
i m not at chaseton s either please don t die my heart will be really sad,sadness,worry
ceremony gloomy friday,sadness,worry
a whole box of ice cream,sadness,neutral
prince and sleepy sleep my nightly routine get ta go to Dmv early tmrw,worry,worry
didn t get a callback for the play I cry oh well I guess it s back to be a techie,sadness,sadness
THIS WEBSITE GAVE ME A VIRUS When i open it more windows keep POPPING up,hate,neutral
airport and you didnt show up tonight homo,neutral,worry
leonardo You be a great mini fiddler crab,fun,neutral
I ll make him nachos tomorrow Better than if he would have make them himself,neutral,worry
should updatd her twitter,relief,neutral
ohh sorry thats someone else s pic my bad,worry,worry
im stay home tonight no movie ing for me,worry,sadness
home in the rain,neutral,worry
from school Ms Suhana s last day as our FT OCU be okay I m play ALTNOY over and over again,neutral,worry
It be just alriightt,relief,neutral
ohh thursday i have exams all day what about wednesday,sadness,worry
Malay girl come to seemy room for rent sadly think it be for her guyfreind bite mislead and disappoint LOL,sadness,worry
i may have break a toe at the bar tonight thank drink girl for steppin all over me,hate,worry
heehee i love you i be tire,sadness,sadness
be YOU convince that I have always want you What signal do I give off damn I think I just lose another friend,sadness,worry
good or should i say bad afternoon,neutral,neutral
wan na work 11 830 tomorrow but i get pay,sadness,worry
Ahh Well at least I m up to,sadness,neutral
last tweet didn t send bad phone,neutral,worry
big scary bug fly around my room,worry,worry
GIRL WHEN ARE YOU COMING BACK chacee,neutral,neutral
it I REALLY look like crap Sigh only have 35mins to shower and 10mins to get ready,hate,sadness
really sick watch the fifth element and about to smoke a cigg ugh i hate colds,hate,sadness
aww that s my last one Roo Oop,fun,worry
my work computer now my home laptop be fuck,sadness,worry
n bed with a headache ughh waitin on your call,sadness,worry
my ferret officially have insulinoma Now on daily prednisone Had interview with p doc today have to go back monday for test,neutral,worry
go back out there,neutral,neutral
well i just get home and its not on till tmw at 530p but with comcast its on right now but i didnt miss it,neutral,worry
Is feel really bad about goofin on not know she really wasn t at the meet Dang I m sorry Me amp my big ol mouth,worry,worry
late at night on a Dell notebook Dell s quality have go down hill warrenty service suck too poor people buy a Mac instead,hate,worry
find out I can t drink at this bar Boo miss e1 at palomino s No cheer sad face,sadness,worry
Tweeple Tomorrow will be day 25 at work,sadness,worry
take my advice lookin through the phone cost me my relationship,worry,worry
urgh stop it guy,worry,sadness
i dont even have a WII b like xbox so that s what we have do you use it,neutral,worry
on britains get talent britain seem more talented than america,surprise,worry
bed bed bed do you never answer texts anymore I think of you the other day and send one but never hear back Sad day,sadness,worry
sorry bout the cat,sadness,sadness
I know that be so sad I,sadness,sadness
swine flu be in robina gold coast,neutral,worry
want to go to Peru this summer ahh Hopefully Yesyesyes I miss it over there,love,sadness
time bbye biochem waahh,neutral,worry
can t sleep this be so darn frustrate,sadness,worry
to get my hand on the Diagnosis Murder DVD boxset but those pesky kid at Amazon still win t deliver to Zimbabwe,enthusiasm,worry
its annoy when i keep get twitter error message from my mobile,worry,worry
for karma point please,neutral,worry
Caan t Iht Be Earlier ICant Wait That Long Ahar,sadness,neutral
very big zongzi for lunch eat more but not work more Work less but eat more what can I do w h it Too useless become,worry,worry
finish watch quot Marley and Me quot,neutral,sadness
a good day till he twist his ankle on his two mile run,sadness,worry
do paint all the bedroom furniture I still have to do the table but it will wait until after the move Uggh move in the heat,relief,worry
And I feel your pain,sadness,sadness
Bah I don t think FB fan page will get to 7500,surprise,worry
its time hope i go to school tomorrow all though i don t feel very well right now,worry,worry
eye seem bad Just fork out on new wash machine so why not a vet bill to top it off eh,surprise,worry
i m sorry lol i have never have like actual time to spend there unfortunately everything s always be INSANE when i go,surprise,sadness
not be able to take days off of work or have the money to take the trip so sad,worry,sadness
cant watch anythgin till tonight,neutral,worry
talk to me anymore,worry,worry
so i feel like shit for say HAPPY BELATED BIRFDAYY i m only a month late,worry,sadness
i have something to say and no one be listen,worry,sadness
girl a blunt be soo in my thoughts right now I have an absolutly GREAT day with a few stressors come home,neutral,worry
so sleepy my head hurt gnite lovers See ya in that be,worry,sadness
That s better than Missy 8 tell me I should be on The Biggest Loser,worry,worry
out with lizziemonster amp i be soo hungry,neutral,neutral
to sleep without any pills Not work 3am and wide awake But now it s too late to take them because I ll sleep til 3pm,worry,sadness
be that mean,sadness,neutral
two macaroons go into a bar one say oh your a nut wow I need to get out more,love,worry
airport and you didnt show up tonight homo,neutral,worry
be tweet so much that she s not even pay attention to me,worry,sadness
i didnt get to see it tonight,neutral,worry
suure,happiness,neutral
the DS version suck,sadness,sadness
love johnny carson now I m go to hate see jay leno go,sadness,sadness
it s cold,worry,neutral
my roommate love to ignore me,hate,sadness
at old picture I love it amp miss the good ol days,love,sadness
sleep 2 hours of toss and turn,worry,neutral
ive be there before haha,happiness,neutral
a mass cleanout of my room before rearrange it Just send mother out to buy me a bin and a bookshelf since mine suck Bad mood,hate,worry
class work on interactive orals,happiness,neutral
Wolfie85 Ah sameway Yet mikeyway have 2006 vote We need more vote D,neutral,worry
rah youtube isn t work again oh great,hate,worry
yoo Its rainin dumb hard out,sadness,neutral
my other tank dps friend be have the same problem in a different guild wtf be wrong with this server,hate,sadness
In my house,neutral,worry
oh no the economy gotcha sorry but so happy that you get another one in LA Enjoy SoCal Ahahaay LOL,happiness,worry
But it s Fridaayy,anger,worry
im not at litle oven tonight,worry,neutral
it wont let me,worry,neutral
one sale do today at work Explored balconies in the big theater w coworkers A fun day but void of chili fry and tip,neutral,worry
and I be just gon na ask you if you want to go to CLUB Hidden House on sit night hehe,fun,worry
lol that s worry,worry,sadness
be there suck like hell,boredom,neutral
Kills me to see you online and not be able to say hello,worry,neutral
No but it do amaze things with keep all your online conversations in one place unfortunately that place be Google,worry,worry
at work,neutral,neutral
to bed Still exhaust from Vegas,neutral,sadness
that F F F break up,hate,neutral
deep,surprise,neutral
have a little family party tonight hope it rock,happiness,worry
in bed up faar too early,neutral,neutral
so much fun at the beach today and delicious dinner at house i friggin love Mark and Josh I m gon na miss them,fun,sadness
like im go to cough up a lung,worry,worry
have a problem with my photo here in twitter amf can t see my face,sadness,worry
sew for the night upload picture from slidebar and beach i cant believe i be have difficulties with twitter,worry,worry
have a chance of sleep before midnight my mind be so tire,worry,worry
what about me,neutral,worry
a little lie down not feel great today boo,worry,worry
i want to but im not over 18 and t amp c say over 18 s only wan na make an exception for me,worry,neutral
world I have t o be up at 5am,neutral,neutral
a bad day,sadness,sadness
I knooww amp my hot water bottle iss in whangamata without me ahh,worry,sadness
ohh ic ic haha iyaa my summer be fill with ONE Course that last for the whole summer,neutral,sadness
need to be hold Gnite,worry,worry
Awe I miss my baby,neutral,sadness
lol hi emmy latin would help me study for the aptitude test to get into grad school thats why i wan na take it,happiness,sadness
be drink and hot suck,worry,sadness
Aw you would not unfollow me would you Then I would cry,neutral,neutral
actually manage to purchase anything from the ovi store yet Constant server error on check out,boredom,worry
not really have a good night miss my little girl,sadness,sadness
Thank you for the rec but that doesn t work,worry,sadness
But now it s go,neutral,sadness
i feel the same way every day,sadness,worry
need to wake up earlier so I m actually tire enough to fall asleep,worry,sadness
Not yet sorry,sadness,worry
want another tatt,enthusiasm,worry
Mmm I love curry Don t have an Oregan though,love,sadness
an employee tonight,sadness,neutral
guess I have to get dress and be pretty then,empty,sadness
But I get dibs on Sulu,neutral,worry
it never start,neutral,neutral
Hahahaha It s not horrible if others be sing with I m sure it could work I wish I could afford my own drum set,hate,neutral
dude i didn t know it be a personal experience sorry something like that go down,worry,worry
this stupid wireless wont work downstairs,hate,neutral
write my resume s too difficult XD how do i tell them i ve take 10 different job and quit them within the span of two months,worry,worry
today be good sara have strep think Angelina do to i share a water with her B4 they tell me i will prob get it to,enthusiasm,worry
Too much happen today I really need a hug,neutral,worry
there s relisting fee when you don t complete a sale that suck,surprise,sadness
lmao thats sad kinda discourage me 4rom goin if the shit s wack,sadness,sadness
accept the fact that all cute guy be take,sadness,worry
Fukn Nite want sum pinga but couldn t get any,worry,neutral
hello_jodie Um I be throw from van yesterday and have to be take to the ER,sadness,sadness
hey i love ACS but i have to see it online be not here yet cant wait to buy it you look amaze there,enthusiasm,sadness
this be what happen when i have no model,worry,neutral
HATE CANCER I HATE IT I HATE IT I HATE IT,worry,sadness
mums try to make me feel ebtter about stop vote adn not win shortstack i almost cry,sadness,sadness
Maatt Havent speak to you in age dudee Dont forget bout ur Aussie fan lool Love ya xx,love,worry
what happen,worry,neutral
I m sure some1 will cum out and play I m workin through til midnight,neutral,neutral
home now yay Was go to buy a much need bottle of wine to drink with dinner but my wallet be MIA so no wine for me tonight,happiness,worry
I be at sri panwa now,sadness,neutral
just wake me from an incredible sleep,love,worry
youstinkatrespondingtotexts,hate,neutral
wendyisastar Umm yeah That s probably a pretty good note to self because eeww,fun,sadness
charger be completely dead conserve what s leave of the battery until i can afford to buy a new one,sadness,sadness
I can t this weekend sorry And Steph be work,sadness,worry
I CAN T My heart ache for her children I wan na adopt alexis,love,sadness
yahoo map lot more to desire yahoo,neutral,worry
thats me for the day watch Panthers tonight beat the Saints finger cross cause there be no QLD team play this round,sadness,sadness
summer vacation be almost over here at the philippines kinda sad i wonder what section will i be in,worry,sadness
I think they make you turn your phone off I ll see what I can do,relief,worry
hun be you okay I see alot of your post your exercise like mad not eat or sleep,worry,worry
it be so unfair that all the good rock show happen only in B lore and Pune,sadness,sadness
like it s go to be too nice to work today how annoy as I have no choice,worry,worry
suppose to turn in a sentence outline for my research paper within the hour online but my neck hurt,worry,sadness
yeps just for today though I badly want to do some geek shop,worry,worry
early yeh work to do over the weekend not happy so much 4 a big1,worry,worry
rain now my hair will gett all gay,worry,worry
I be awake until 12 45am then my mum turn the internet off so i couldnt watch the live chat i be ccrying i be sad,surprise,sadness
Fever dont feel to work,sadness,worry
I wish I could have time for my xbox project all tie,sadness,worry
Up I Wan na Stay In My bed,sadness,sadness
yaris 70mpg so sad its not available in the US That d be awesome,sadness,sadness
lose mx way,worry,neutral
do i do now,empty,worry
one month due to summer strawberry be not availble in the Chennai market,worry,sadness
just call me a big bucket of ugly wish me luck for my audition tweet,surprise,worry
be happen with my neck this be definitely not stiff neck,love,neutral
computers and the Ethernet at school be so slow,worry,worry
much better day so far it s still quite early last day of uds,happiness,worry
time I wish I be a teenager again I wish I could feel healthy again I can t remember what it s like to feel healthy anymore,worry,worry
miss Voobys,neutral,sadness
to pole class Feeling discourage I be hopeless when it con to dance or sexy move or spread my legs,worry,neutral
OMG No fair,neutral,neutral
I don t think it be either But I can t remember it,neutral,worry
Taxi Q at Pelangi be super loong and now I m get headaches because of the hot cold transition,hate,worry
